Open,High,Low,Close,Vol.,Change %
12.6,12.7,12.1,12.35,8.57M,-1.98%
12.3,12.6,12.15,12.35,3.44M,0.00%
12.5,12.6,12.3,12.45,15.82M,0.81%
12.3,12.4,12.1,12.35,3.50M,-0.80%
12.3,12.35,12.25,12.3,15.32M,-0.40%
12.35,12.4,12.3,12.35,12.78M,0.41%
12.35,12.5,12.35,12.35,2.48M,0.00%
12.4,12.5,12.35,12.4,3.47M,0.40%
12.5,12.6,12.4,12.5,15.73M,0.81%
12.4,12.5,12.35,12.4,2.40M,-0.80%
12.45,12.6,12.35,12.45,18.91M,0.40%
12.4,12.45,12.3,12.35,13.67M,-0.80%
12.3,12.5,12.3,12.45,4.05M,0.81%
12.4,13.0,12.4,12.75,7.22M,2.41%
13.0,13.0,12.6,12.75,123.20M,0.00%
12.75,13.0,12.7,12.85,22.42M,0.78%
12.9,13.3,12.8,13.1,12.53M,1.95%
13.15,13.4,13.1,13.2,11.28M,0.76%
13.1,13.3,13.1,13.2,3.06M,0.00%
13.2,13.3,13.1,13.2,11.64M,0.00%
13.1,13.1,12.9,13.0,14.45M,-1.52%
13.0,13.3,13.0,13.2,8.28M,1.54%
13.15,13.2,13.0,13.05,28.50M,-1.14%
13.05,13.1,13.0,13.05,4.09M,0.00%
13.05,13.2,13.0,13.05,3.30M,0.00%
13.1,13.2,13.1,13.1,69.20M,0.38%
13.1,13.2,13.05,13.1,6.02M,0.00%
13.05,13.1,12.85,13.0,13.78M,-0.76%
13.0,13.0,12.7,12.8,28.68M,-1.54%
12.8,13.0,12.75,12.9,17.36M,0.78%
12.85,13.0,12.75,12.8,27.77M,-0.78%
12.9,13.05,12.75,12.85,36.35M,0.39%
12.8,13.0,12.8,12.9,4.14M,0.39%
13.0,13.1,12.75,12.85,11.95M,-0.39%
12.9,12.9,12.1,12.6,12.96M,-1.95%
12.65,12.7,12.5,12.6,21.42M,0.00%
12.7,13.2,12.65,12.85,57.81M,1.98%
13.0,13.1,12.9,13.0,3.51M,1.17%
13.0,13.1,12.95,13.05,12.05M,0.38%
13.0,13.2,13.0,13.05,55.25M,0.00%
13.05,13.1,12.85,13.0,6.09M,-0.38%
12.85,13.05,12.75,12.95,2.74M,-0.38%
13.0,13.05,13.0,13.0,2.21M,0.39%
13.0,13.05,12.95,13.0,17.52M,0.00%
12.95,13.0,12.9,12.95,23.77M,-0.38%
12.95,13.05,12.9,13.0,29.63M,0.39%
13.0,13.1,12.9,12.95,16.31M,-0.38%
12.95,12.95,12.7,12.8,44.05M,-1.16%
12.8,12.9,12.8,12.8,19.83M,0.00%
12.95,12.95,12.8,12.8,31.26M,0.00%
12.8,12.95,12.8,12.8,1.60M,0.00%
12.8,12.95,12.8,12.85,16.15M,0.39%
12.8,12.9,12.8,12.85,19.40M,0.00%
12.8,13.05,12.8,12.9,11.00M,0.39%
12.9,13.0,12.85,12.95,15.64M,0.39%
12.95,13.0,12.85,12.9,4.04M,-0.39%
12.9,12.95,12.8,12.85,1.41M,-0.39%
12.8,12.9,12.8,12.85,14.53M,0.00%
12.85,12.9,12.7,12.8,44.46M,-0.39%
12.8,12.85,12.55,12.8,8.81M,0.00%
12.8,12.9,12.75,12.8,16.25M,0.00%
12.8,12.85,12.75,12.8,8.83M,0.00%
12.8,12.8,12.5,12.65,19.78M,-1.17%
12.6,12.7,12.0,12.55,17.58M,-0.79%
12.2,12.5,12.2,12.4,24.17M,-1.20%
12.35,12.55,12.35,12.45,22.86M,0.40%
12.5,12.6,12.45,12.45,6.48M,0.00%
12.5,13.0,12.5,12.65,17.98M,1.61%
12.7,13.05,12.55,12.95,17.91M,2.37%
12.65,12.8,12.55,12.75,1.59M,-1.54%
12.7,12.8,12.65,12.7,1.79M,-0.39%
12.75,12.9,12.7,12.75,24.37M,0.39%
12.75,12.95,12.7,12.75,67.82M,0.00%
12.75,12.85,12.65,12.7,6.32M,-0.39%
12.75,12.75,12.5,12.55,10.89M,-1.18%
12.6,12.6,12.2,12.4,2.34M,-1.20%
12.45,12.5,12.3,12.35,11.88M,-0.40%
12.4,12.45,12.3,12.3,8.04M,-0.40%
12.3,12.35,12.1,12.15,12.25M,-1.22%
12.2,12.2,12.0,12.05,24.87M,-0.82%
12.05,12.25,12.05,12.1,15.45M,0.41%
12.1,12.15,11.85,12.0,26.14M,-0.83%
11.9,12.05,11.75,11.95,19.82M,-0.42%
